FID,Lat,Long,TOT_POP,BU_TOT
0,7.22306,2.52833,3786,2
1,7.183616,1.988992,78341,3
2,6.4175,2.3363888,61450,0
3,6.918611,2.0380557,263,2
4,7.455,2.56694,6260,0
5,6.83194,2.5325,1293,2
6,6.79389,1.85972,5787,0
7,6.87222,2.04528,625,3
8,6.7052779,2.2683334,5606,0
9,6.84056,1.67083,10691,2
10,6.66,2.05194,1115,0
11,6.58806,1.65722,10622,0
12,6.86389,2,3294,12
13,7.20278,2.10556,1667,2
14,6.7280555,1.7683333,965,2
15,6.43083,1.89167,2126,0
16,7.075,1.96806,3086,0
17,6.61667,2.45389,1897,1
18,6.65,1.9875,1960,1
19,7.2227778,2.0772221,1365,1
20,6.92417,2.505,2341,6
21,6.62278,2.47361,8012,1
22,6.61444,2.47583,2288,3
23,6.7013888,1.6919445,740,0
24,6.97278,2.43611,1014,3
25,7.93833,2.18967,1411,0
26,7.2533336,2.4583333,1230,2
27,7.48056,2.42722,966,1
28,8.00183,2.19817,8058,0
29,7.07278,2.50694,1522,4
30,6.84056,2.03611,820,4
31,7.03056,1.9,750,0
32,7.11816,2.43472,662,3
33,6.87361,2.50194,1059,0
34,6.84306,1.75278,2700,1
35,6.57778,2.39778,8760,0
36,6.88611,1.98333,1529,5
37,7.19167,2.00139,4399,2
38,9.47583,2.01333,6109,0
39,6.92083,2.41528,1393,8
40,8.1316671,1.9419445,1130,0
41,6.94556,1.73194,2017,1
42,7.23611,2.33889,1218,2
43,7.88333,2.2,2493,0
44,9.12194,2.55833,11988,0
45,6.96722,2.04306,937,0
46,7.9275,2.29533,9214,0
47,7.75556,2.37806,1114,0
48,6.7122221,2.3194444,1598,7
49,7.9435,2.2425,2661,0
50,6.84306,1.78528,14915,0
51,7.1,2.1125,1002,1
52,7.16528,2.26528,1469,3
53,6.7675,2.47917,395,2
54,6.83472,2.5375,1475,1
55,7.90226,2.18097,599954,0
56,7.918889,2.0283334,1597,1
57,6.8575,1.97667,1009,1
58,6.89444,2.45056,464,1
59,6.73583,1.75583,1262,2
60,7.15306,2.07917,876,2
61,6.60193,2.22393,801683,0
62,6.72611,2.16389,6230,0
63,6.668611,2.0427778,3987,0
64,6.49278,2.21083,4444,0
65,6.7613888,2.1080556,2118,1
66,7.10611,2.13611,2412,6
67,6.93333,2.4125,685,3
68,6.89861,1.78333,604,1
69,6.5108333,2.1794446,958,1
70,6.7425,2.52333,728,2
71,7.30083,2.50694,2261,2
72,6.77806,1.72194,2228,0
73,6.583889,2.1275001,2258,3
74,6.5500002,2.1027777,6457,0
75,6.90583,2.4475,486,2
76,6.96389,1.72278,5031,10
77,6.66639,2.49167,16883,5
78,6.97056,1.91167,1905,4
79,6.86417,2.03722,1616,4
80,6.9275,1.72111,1053,4
81,7.168871,2.067014,113091,6
82,6.91028,2.44722,29656,21
83,6.99722,2.4625,242,4
84,6.97472,1.67389,1287,2
85,6.60611,2.00139,947,1
86,6.945,2.42,4905,3
87,7.3252778,2.0827777,2248,0
88,6.9058332,1.8605555,892,1
89,6.62833,2.47028,2485,5
90,7.01056,2.46444,9607,14
91,6.53389,1.84722,1088,2
92,6.73139,2.22806,3830,0
93,6.57028,2.01083,1091,0
94,6.772222,2.4777777,426,0
95,7.02333,1.70139,2446,2
96,6.7013888,2.4783332,737,0
97,6.66528,1.79667,1257,3
98,7.18472,1.95278,1338,0
99,6.90028,1.71389,8379,3
100,7.7330556,1.7411111,1834,0
101,6.46528,1.80167,4852,0
102,7.1727777,2.0158334,11080,1
103,6.91889,2.54333,1349,1
104,7.3455558,1.9336112,15549,0
105,6.86,1.78722,1357,2
106,6.94639,1.68833,2094,2
107,7.18194,2.02639,2109,1
108,6.99306,1.79306,1066,0
109,6.91944,1.8425,954,1
110,6.84417,2.45583,1772,6
111,7.73333,2.3125,76947,0
112,7.05194,2.20278,820,1
113,7.2505555,2.0091667,334,0
114,6.86667,1.80139,11412,1
115,6.97083,1.89361,873,2
116,7.0972223,2.3119445,6768,0
117,7.20139,2.12083,1409,1
118,6.56722,1.86917,22099,2
119,6.9019446,1.9077778,1185,3
120,7.09806,1.75889,1373,2
121,6.69583,2.47917,664,5
122,6.41944,2.13333,1448,0
123,7.0149999,2.4144444,4553,0
124,7.17917,2.29028,882,1
125,7.104722,2.3127778,3654,0
126,6.66667,1.85833,5509,0
127,6.97694,2.41889,449,2
128,6.60694,2.45417,5505,13
129,6.65972,2.45417,479,2
130,6.87417,2.44944,904,2
131,6.94722,1.70972,3444,2
132,6.99639,2.47417,1271,1
133,6.6875,2.48167,217,2
134,6.66111,1.66083,1431,2
135,7.03472,2.49222,1241,2
136,7.19861,2.03472,1639,0
137,7.76583,2.01361,2920,0
138,7.0361109,1.7833333,1013,0
139,6.83806,1.8925,1432,1
140,6.3833332,2.3483334,153447,0
141,6.64,2.475,2373,1
142,6.86944,1.73722,4242,0
143,7.8741665,2.2097223,623,0
144,6.9625,2.05417,811,2
145,6.94556,1.95833,2008,1
146,6.7955556,2.321389,1344,0
147,7.6838889,2.1780555,1376,2
148,6.75778,2.42917,1042,2
149,6.42111,1.89111,10519,2
150,7.02083,2.47917,433,1
151,6.63083,2.50806,760,7
152,7.1375,2.44583,1713,9
153,6.60333,1.63056,2649,2
154,6.79417,2.44583,332,5
155,6.95278,1.78278,11688,2
156,6.729722,1.8541667,1143,0
157,6.7880554,2.2833333,583,7
158,7.2305555,2.3447223,299,2
159,6.5586109,1.9991667,6640,0
160,6.76667,2.46806,1339,1
161,6.89861,1.75806,291,2
162,6.74167,2.06667,949,1
163,7.19167,2.1375,3169,0
164,7.2175,2.34167,1175,4
165,6.50333,1.78611,666,1
166,7.1680555,1.9855555,9142,0
