"","Lat","Long","TOT_POP","BU_TOT","FID","MeanTemp","Precip_mm","MeanFCPerc","StdDevFCPerc","FLOSS_ha","FGAIN_ha","Forest","Agric","ShrGra","Urb","Water","MeanNDVI","SdNDVI"
"1",6.3833332,2.3483334,153447,0,140,27.2,1201,4.056050209,5.335443567,5.581305693,0,0.24,0.17,0.06,0.45,0.09,0.220970262761905,0.132312864837049
"2",6.81806,1.6375,2528,0,192,27.2,1035,13.91266455,3.920354647,12.21167763,2.064268441,0.02,0.33,0.65,0,0,0.2861486450625,0.133596792245128
"3",6.84056,1.67083,10691,2,9,27,1048,12.3175035,3.076835073,5.545660659,2.174891972,0.02,0.04,0.94,0,0,0.2953298770625,0.116640005860876
"4",6.97472,1.67389,1287,2,84,26.5,1096,14.57650876,4.49372505,10.8512407,0,0,0.04,0.96,0,0,0.254290036875,0.159617948763413
"5",6.94639,1.68833,2094,2,106,27,1068,12.63401491,5.882963595,20.13569519,0.9763484741,0,0.02,0.98,0,0,0.2868260845625,0.124076181706478
"6",6.94722,1.70972,3444,2,131,26.7,1088,9.379451264,4.455143126,5.04810485,0,0,0.01,0.99,0,0,0.1882990319375,0.096620240239015
"7",6.9275,1.72111,1053,4,80,26.9,1075,11.71850382,3.591331903,6.834736206,0.1775278137,0,0.04,0.96,0,0,0.2960633325,0.173002899340412
"8",6.93611,1.73333,1400,2,188,26.9,1075,11.94943713,3.629349945,6.932787796,0.4438127991,0,0.08,0.92,0,0,0.2585182785625,0.141544217530129
"9",6.94556,1.73194,2017,1,41,26.8,1079,11.78795625,3.295899754,4.236760056,0,0,0.03,0.97,0,0,0.32917180475,0.186765279733984
"10",6.96389,1.72278,5031,10,76,26.6,1089,11.90473036,3.198537779,4.441941137,0,0,0.01,0.99,0,0,0.2794250106875,0.151741126378611
"11",7.02333,1.70139,2446,2,95,26.7,1096,17.78351203,5.328806344,14.18102803,0.1774868469,0.01,0.04,0.95,0,0,0.3777095604375,0.188192915674688
"12",7.07111,1.74861,438,1,212,27.1,1081,14.76839995,2.854355276,3.371940387,1.331017731,0,0.04,0.96,0,0,0.28974197575,0.154882429355417
"13",7.02111,1.72472,2550,8,273,26.4,1107,14.01823947,5.293786825,13.0659494,0,0,0.02,0.98,0,0,0.3026223853125,0.134161722510761
"14",7.0361109,1.7833333,1013,0,138,26.5,1105,11.49575651,3.392789664,4.4371086,0.354973291,0,0,1,0,0,0.29607323825,0.152715953709315
"15",7.0580554,1.8288889,1697,1,264,27,1084,13.21841807,3.486314181,6.23633112,0.2884880516,0,0.09,0.91,0,0,0.2705400773125,0.126492650003315
"16",6.99306,1.79306,1066,0,108,26.9,1083,10.91008074,3.603479344,4.466413565,0,0,0.01,0.99,0,0,0.2602180448125,0.106986291288584
"17",6.94556,1.77639,1602,1,198,27.1,1059,11.10063349,3.871983165,4.93013307,0.8876075195,0,0.25,0.75,0,0,0.30979047525,0.164563757729016
"18",6.95278,1.78278,11688,2,155,27.1,1062,11.31849124,3.843719813,5.572265733,0.08875968018,0,0.22,0.78,0,0,0.2997962885,0.16024160572906
"19",6.8575,1.81028,2304,0,272,27,1053,16.47352508,5.858330893,45.32130059,3.506837181,0.04,0.72,0.24,0,0,0.2744937940625,0.160447256773933
"20",6.86667,1.80139,11412,1,114,26.8,1062,15.75327045,5.590251613,32.02367945,2.926740477,0.04,0.65,0.31,0,0,0.3292323429375,0.171510878040369
"21",6.86,1.78722,1357,2,105,27.4,1028,17.18825355,5.493167479,30.38640256,5.000601653,0.03,0.72,0.24,0,0,0.2859209158125,0.148213337288059
"22",6.84306,1.78528,14915,0,50,27.2,1034,17.51348584,5.07082668,35.42415412,10.21571985,0.04,0.83,0.13,0,0,0.3052226901875,0.140168341865593
"23",6.89861,1.78333,604,1,68,27.5,1027,15.89698954,4.727342511,20.18723794,19.16544478,0.01,0.62,0.37,0,0,0.4325615606875,0.165979430774192
"24",6.89861,1.75806,291,2,161,27.1,1052,15.20643378,4.913711401,16.31793326,2.664059228,0,0.65,0.35,0,0,0.280282423375,0.128096852530316
"25",6.88056,1.75278,2550,0,176,27.3,1038,15.87072788,5.569115465,25.30314341,2.928061437,0,0.77,0.23,0,0,0.224505741625,0.116352893876587
"26",6.91667,1.71667,2192,0,174,26.8,1076,11.70003593,3.765784533,6.307803357,0.08876412964,0,0.05,0.95,0,0,0.2419645039375,0.157267988007849
"27",6.90028,1.71389,8379,3,99,26.9,1070,12.28970005,4.586381891,7.034628558,0.2663076416,0,0.13,0.87,0,0,0.2576881964375,0.140212504234249
"28",6.88889,1.68056,11998,0,244,26.7,1074,14.73667643,3.745916654,11.64924625,0.08876934204,0,0.1,0.9,0,0,0.3363879994375,0.175529999957198
"29",6.86944,1.73722,4242,0,142,27.1,1048,15.30104528,4.946625059,17.49578328,6.579960181,0.01,0.65,0.34,0,0,0.2819374819375,0.116478684117033
"30",6.84306,1.75278,2700,1,34,27.4,1024,14.45452024,4.248142795,22.90456649,4.116815991,0.03,0.77,0.2,0,0,0.2809584318125,0.15564852966199
"31",6.77806,1.72194,2228,0,72,27.5,1018,17.55667973,6.904646054,38.15749088,5.313433167,0.1,0.71,0.17,0,0.02,0.31159193125,0.14202600779717
"32",6.805,1.78389,3107,4,271,27.2,1026,16.51402472,7.720186668,40.75623744,3.541648324,0.01,0.86,0.13,0,0,0.2341512725,0.105445722988938
"33",6.80333,1.77528,3018,1,193,27.4,1022,14.70963898,6.505421425,28.4884116,2.803520035,0.01,0.84,0.15,0,0,0.284139191,0.146124499471476
"34",6.81634,1.80524,360037,0,218,27,1042,22.86030115,6.959063677,94.43852378,10.81568225,0.02,0.92,0.06,0,0,0.3244117206875,0.208144344859706
"35",6.80806,1.82167,628,1,172,27.2,1023,23.84229,7.26868674,111.6183,12.05924384,0.01,0.98,0.01,0,0,0.3052913678125,0.127660531964781
"36",6.73583,1.75583,1262,2,59,27.1,1041,18.99216138,7.197536494,63.00108716,7.737464848,0.04,0.9,0.05,0,0,0.218237319,0.090531902952547
"37",6.7280555,1.7683333,965,2,14,27,1042,18.11181513,7.109447251,70.66933794,43.39607034,0.04,0.94,0.02,0,0,0.2342313360625,0.0726959776232507
"38",6.66528,1.79667,1257,3,97,27.5,997,23.47928447,8.587387799,109.2474432,17.3373689,0.04,0.93,0.01,0,0.02,0.3125782766875,0.104073519634604
"39",6.70083,1.80306,2761,1,178,27.4,1010,22.66905625,9.694217393,186.1018723,50.65694576,0,1,0,0,0,0.3502002759375,0.160583492811613
"40",6.58389,1.77639,1850,0,191,27.4,983,17.74693308,7.372368905,33.4265714,3.233540586,0.16,0.67,0.07,0,0.09,0.31206177505,0.154368502828221
"41",6.66722,1.69361,503,0,297,27.5,1017,20.79676228,7.695267746,133.5351356,19.17401134,0.09,0.79,0.11,0,0.01,0.255712357375,0.0661088762158471
"42",6.7013888,1.6919445,740,0,23,27.6,1012,22.48981275,8.044967793,37.8823017,8.265660694,0.08,0.85,0.04,0,0.03,0.3962356419375,0.142135766203135
"43",6.66111,1.66083,1431,2,134,27.5,1011,23.57218973,7.35012055,44.81293632,10.14662945,0.03,0.95,0.01,0,0,0.2756997377,0.099550208569126
"44",6.60333,1.63056,2649,2,153,27.4,984,18.38222559,5.175755587,53.88697974,0.8882061829,0.05,0.81,0.14,0,0.01,0.33386828445,0.171497822601804
"45",6.58806,1.65722,10622,0,11,27.4,984,19.88001162,7.478018211,62.83750087,3.413890095,0.02,0.87,0.11,0,0,0.2854691146,0.145430920664921
"46",6.50333,1.78611,666,1,165,27.4,949,19.90552901,5.206685646,79.09843776,12.20238372,0.01,0.95,0.01,0,0.03,0.3629999461,0.202505721241733
"47",6.46528,1.80167,4852,0,101,27.4,931,18.22095459,5.111024923,182.5644671,2.390407988,0.01,0.83,0.13,0,0.03,0.29602258535,0.184674239638893
"48",6.43083,1.89167,2126,0,15,27.2,973,14.23736615,3.480798448,48.3087031,2.221241272,0.04,0.78,0.16,0.01,0.01,0.35374192955,0.204592662464391
"49",6.42111,1.89111,10519,2,149,27.3,968,12.75386777,4.872840337,45.9520619,2.033787639,0.03,0.75,0.21,0.01,0,0.3087151765,0.172908767515791
"50",6.4058332,1.9636111,1142,0,232,27.3,1016,12.96208045,8.670011874,55.77715465,6.255738416,0.33,0.14,0.23,0,0.3,0.2456344817,0.129887073023359
"51",6.5083332,1.9533334,6179,0,224,27.4,967,9.673263404,5.64095831,20.80697075,1.066043335,0.31,0.22,0.1,0.01,0.36,0.23641012575,0.13809577745896
"52",6.51667,1.97167,1008,1,226,27.5,966,3.595369661,5.506310244,6.167934047,0.1776721558,0.2,0.13,0.15,0.01,0.51,0.000869806250000001,0.100123917496997
"53",6.53389,1.84722,1088,2,91,27.2,965,17.7505671,5.339472157,75.15374599,15.03024362,0.01,0.98,0.01,0,0,0.28728907205,0.194642780837278
"54",6.56722,1.86917,22099,2,118,27.1,980,16.31889253,6.328032589,61.70194526,6.57559359,0.1,0.88,0.02,0,0,0.31233142525,0.181882068542947
"55",6.55972,1.83611,1580,0,298,27.2,975,19.43602746,7.054395219,91.503929,11.66952488,0.05,0.93,0.02,0,0,0.28431368225,0.159014444956356
"56",6.59306,1.86528,1204,1,181,27.1,985,20.04970232,6.521431367,79.65121073,17.93742913,0.15,0.83,0.03,0,0,0.3751275389,0.218919980317319
"57",6.66667,1.85833,5509,0,126,27.5,977,21.911651,5.629539417,44.99046392,16.77096279,0.11,0.82,0.07,0,0,0.3507148324375,0.20386449163408
"58",6.729722,1.8541667,1143,0,156,27.6,987,22.09773867,5.249413012,29.44490204,4.17351015,0.02,0.97,0,0,0,0.3051097403125,0.199845997170977
"59",6.72861,1.87194,1208,0,279,27.5,987,22.98888131,5.788154613,49.17203293,11.20224117,0.02,0.98,0,0,0,0.2808442761875,0.177458049673098
